SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
2200000;2;1;0,0909;0,19856;0,11962;0,0215;0,00957;0,0048;0,11483;101,476;-0,156
2650000;1;0;0,0827;0,25596;0,16216;0,0382;0,00318;0,0143;0,11765;99,2515;0,123
411000;5;1;0,0691;0,26421;0,18126;0,02;0,01075;0,0077;0,13825;98,3634;0,065
4375000;0;0;0,0865;0,26737;0,173;0,021;0,00393;0,0118;0,08912;98,1127;0,163
5250000;0;0;0,1277;0,25679;0,15217;0,0448;0,01495;0,015;0,16848;98,1325;0,3
3925000;6;0;0,1336;0,24253;0,15114;0,0439;0,00351;0,0088;0,14938;102,866;0,183
500000;2;0;0,0584;0,25401;0,15182;0,0423;0,01022;0,0102;0,13869;99,458;0,094
3166666;0;0;0,1315;0,22819;0,12483;0,0443;0,00268;0,0027;0,12081;100,221;0,183
1750000;1;0;0,0393;0,27802;0,19214;0,0248;0,0131;0,0131;0,12955;97,9048;0,06
404100;4;0;0,0893;0,22829;0,10918;0,0521;0,00248;0,005;0,13648;100,105;0,156
403000;76;2;0,1111;0,20513;0,1453;0,0171;0;0;0,06838;98,6658;-0,129
1800000;22;1;0,0943;0,20755;0,13208;0,0354;0,00943;0,0071;0,12736;99,3677;-0,065
1000000;3;0;0,1129;0,24642;0,14944;0,035;0,00159;0,008;0,10493;101,268;0,161
404400;10;4;0,0614;0,225;0,14318;0,0182;0,00455;0,0159;0,09318;100,017;-0,1
402500;12;0;0,0862;0,17241;0,17241;0;0;0,0345;0,01724;100,698;-0,413
1050000;3;2;0,0774;0,23757;0,21547;0,0055;0,00552;0,0055;0,06077;100,751;-0,161
419500;2;0;0,0964;0,26471;0,18464;0,0196;0,0049;0,0131;0,12255;102,42;0,125
432500;0;0;0,0332;0,28809;0,20222;0,0083;0,01108;0,0055;0,10249;100,494;0,037
402500;4;0;0,0647;0,2385;0,17036;0,0239;0,01193;0,0102;0,10392;100,467;-0,026
1550000;2;1;0,0288;0,26441;0,18644;0,0119;0,01017;0,0102;0,08644;97,9193;-0,066
750000;1;0;0,0903;0,23515;0,15439;0,019;0,00475;0,0119;0,10926;102,537;-0,041
2800000;2;3;0,08;0,18;0,12;0,0133;0,02667;0,0133;0,13333;99,99;-0,257
14000000;1;0;0,1733;0,22588;0,125;0,0417;0,01096;0,0022;0,14035;102,154;0,254
10000000;1;0;0,0676;0,24863;0,18647;0,0183;0,00914;0,0183;0,10055;101,28;-0,077
6500000;23;1;0,1539;0,18462;0,15385;0;0,01538;0;0,06923;99,0238;-0,183
2150000;8;11;0,0846;0,23881;0,19403;0,0025;0,00498;0,0199;0,08955;100,459;-0,052
1975000;7;0;0,0828;0,22293;0,13376;0,0446;0;0,0064;0,15287;98,0745;-0,004
16000000;4;0;0,1067;0,26316;0,17105;0,0292;0,00146;0,0059;0,1462;101,156;0,156
2400000;0;2;0,0849;0,25464;0,18833;0,0053;0,00531;0,0053;0,07427;98,9541;-0,006
4250000;2;0;0,0852;0,21635;0,15843;0,0034;0,00341;0,0119;0,08348;99,2497;-0,143
975000;3;0;0,0622;0,17514;0,12994;0,0113;0,0113;0,0113;0,0904;101,338;-0,408
12000000;2;0;0,0363;0,24961;0,15008;0,0316;0,00474;0,0126;0,15324;101,404;-0,034
16600000;2;0;0,169;0,21884;0,15512;0,0194;0;0,0055;0,08033;103,012;0,042
1000000;51;2;0,0409;0,26023;0,20175;0,0117;0,00585;0,0117;0,09064;99,5427;-0,103
7500000;10;0;0,0631;0,23471;0,15976;0,0296;0,01183;0,0099;0,12821;101,458;-0,071
400000;3;1;0,1111;0,19753;0,1358;0,0185;0,01235;0;0,09259;102,924;-0,19
8875000;5;0;0,0885;0,27436;0,1994;0,015;0,01349;0,0135;0,09595;100,006;0,099
2937500;1;0;0,064;0,23974;0,15435;0,0345;0,00985;0,0164;0,12808;100,49;-0,006
12000000;2;0;0,1227;0,2454;0,16155;0,0205;0,00818;0,0102;0,11043;101,015;0,108
8050000;3;0;0,1154;0,16667;0,10256;0,0214;0,01282;0;0,10256;100,107;-0,216
9516697;8;0;0,0829;0,23757;0,14365;0,0442;0,01105;0,0055;0,1547;99,0536;0,063
6100000;3;0;0,0815;0,24459;0,14809;0,0349;0,00666;0,0067;0,13478;99,3483;0,096
12500000;1;0;0,0769;0,28482;0,17048;0,0582;0,0104;0,0083;0,2079;99,1759;0,321
9600000;3;0;0,072;0,24386;0,16203;0,0213;0,00655;0,0131;0,11457;100,128;0,006
1300000;4;5;0,055;0,25359;0,20096;0,0072;0,00718;0,012;0,08852;101,613;-0,126
2250000;3;0;0,0778;0,23333;0,13333;0,0444;0;0,0222;0,14444;100,267;0,095
480000;8;0;0,0718;0,26635;0,18341;0,0223;0;0,0128;0,0925;99,988;0,098
5000000;6;0;0,0975;0,24007;0,13177;0,0451;0,01083;0,0054;0,15343;98,7206;0,142
4000000;17;0;0,0548;0,25;0,16781;0,0274;0,00685;0;0,13356;102,587;-0,059
6000000;1;0;0,1209;0,24627;0,14179;0,0463;0,01194;0,0194;0,15075;100,267;0,224
400000;1;3;0,0638;0,21277;0,21277;0;0;0;0,06383;99,634;-0,38
3550000;0;1;0,0777;0,21818;0,1405;0,0116;0,00331;0,0066;0,10083;98,4301;-0,166
3000000;0;1;0,0998;0,27053;0,14815;0,0467;0,01449;0,0113;0,18519;102,283;0,323
1300000;11;1;0,0909;0,24371;0,1528;0,0387;0,01354;0,0058;0,15087;99,1638;0,09
8400000;0;0;0,1067;0,26264;0,15871;0,0323;0,01404;0,0112;0,18118;99,3101;0,216
415000;21;0;0,0525;0,23607;0,15082;0,0295;0,00656;0,0098;0,11803;100,03;-0,006
1225000;8;1;0,0214;0,23571;0,20714;0,0143;0,00714;0,0214;0,1;99,1057;-0,286
427000;4;8;0,0635;0,2254;0,2127;0;0,00635;0,0064;0,06984;101,726;-0,25
411000;34;0;0,0708;0,25212;0,1898;0,0198;0,00283;0,0028;0,09348;95,7289;-0,015
412500;6;0;0,0723;0,26809;0,19574;0,0149;0,00638;0,0149;0,11489;99,4366;0,044
401500;8;0;0,1048;0,2381;0,1619;0;0,01905;0,0095;0,12381;98,0924;-0,015
401500;6;3;0,0753;0,21505;0,17204;0,0108;0,01075;0;0,10753;102,008;-0,187
2337500;0;1;0,0738;0,23435;0,15409;0,0241;0,00321;0,0032;0,0947;101,425;-0,069
705000;0;0;0,0769;0,2094;0,17094;0,0086;0,00855;0,0128;0,09829;99,7397;-0,22
410000;0;0;0,0699;0,23581;0,16594;0,0087;0,00437;0,0087;0,08734;99,5847;-0,088
455000;2;0;0,142;0,26112;0,16212;0,0287;0,00143;0,0086;0,12482;101,446;0,243
400000;0;0;0,116;0,24253;0,13181;0,0633;0,00527;0,0088;0,17575;102,025;0,307
432500;17;11;0,1544;0,15441;0,125;0;0,01471;0,0074;0,05147;100,387;-0,304
