SALARY;G_PH;G_PR;BBr;HITR;B1R;HRr;SFR;ROEr;RBIR;D_BPF;D_MLVr
1200000;1;2;0,081;0,24299;0,1838;0,0094;0,00623;0,0125;0,11526;100,903;-0,083
6383333;1;0;0,0465;0,21027;0,1467;0,0171;0,00489;0,0122;0,09535;97,9335;-0,226
425000;9;4;0,118;0,18767;0,13941;0,0107;0,00268;0,008;0,08311;99,9882;-0,206
401000;6;0;0,1101;0,25044;0,14387;0,0409;0,00888;0,0071;0,15275;101,742;0,175
428000;6;0;0,1104;0,26929;0,23298;0,0015;0,00151;0,0061;0,05749;101,525;0,035
461200;4;4;0,064;0,22737;0,18102;0,0177;0,00662;0,011;0,08168;101,101;-0,177
2400000;45;7;0,0612;0,21942;0,16187;0,018;0,01799;0,0108;0,11151;99,6252;-0,167
900000;37;22;0,0777;0,19417;0,13592;0;0;0,0097;0,08738;100,32;-0,281
2800000;38;0;0,1523;0,18543;0,13245;0,0033;0,00662;0,0066;0,04636;99,1407;-0,128
3750000;17;2;0,064;0,21333;0,128;0,0293;0,01067;0,0027;0,12533;100,166;-0,081
3000000;9;6;0,1133;0,1877;0,12945;0,0129;0,01618;0;0,09061;99,1938;-0,189
3800000;2;0;0,1164;0,20328;0,12951;0,0328;0,00984;0,0066;0,11803;101,358;-0,078
7000000;6;0;0,0734;0,25459;0,17431;0,0138;0,00229;0,0069;0,11239;99,4507;-0,012
1000000;41;2;0,0706;0,21961;0,14118;0,0235;0,00784;0,0078;0,1098;100,317;-0,121
800000;33;0;0,0531;0,28163;0,17143;0,0327;0,00408;0,0163;0,1551;99,0935;0,165
1875000;4;0;0,0404;0,19529;0,12795;0,0101;0,0101;0,0034;0,06061;101,17;-0,301
6250000;1;0;0,0879;0,27253;0,18462;0,0176;0,00659;0,0066;0,09011;102,021;0,122
1700000;18;2;0,1183;0,23651;0,1473;0,0498;0,00622;0,0104;0,139;99,8869;0,167
2237500;9;0;0,0909;0,18182;0,13131;0,0051;0;0,0051;0,08081;95,147;-0,306
3850000;1;0;0,0562;0,14607;0,11236;0,0337;0;0,0112;0,08989;101,379;-0,461
4450000;5;0;0,0816;0,2517;0,18707;0,0068;0,0102;0,0102;0,11905;100,551;-0,057
1900000;1;12;0,0483;0,18841;0,14493;0,0048;0,00966;0,0097;0,08696;100,068;-0,374
2750000;4;0;0,0986;0,23239;0,14789;0,0387;0,01761;0,0141;0,13732;99,3144;0,087
5916666;3;0;0,0896;0,22222;0,15054;0,0108;0;0,0215;0,12903;99,547;-0,076
800000;22;9;0,1179;0,21698;0,14387;0,0307;0,00236;0,0142;0,10142;100,897;0,004
2050000;6;0;0,0221;0,24606;0,1388;0,0379;0,00315;0,0063;0,12934;101,411;-0,07
12500000;0;0;0,1416;0,25839;0,15036;0,0482;0,01022;0,0102;0,17664;99,509;0,349
435000;4;0;0,05;0,24;0,2;0,01;0,01;0,01;0,08;99,111;-0,173
955000;29;7;0,1357;0,1608;0,1206;0,0101;0,01508;0,0101;0,0603;102,435;-0,284
431100;10;0;0,0796;0,23469;0,1551;0,0143;0,01224;0,0163;0,1;99,44;-0,036
875000;2;0;0,1057;0,24571;0,14714;0,0514;0,00429;0,0029;0,17;95,44;0,221
4387500;2;0;0,0602;0,26355;0,17922;0,0316;0,01506;0,0105;0,1491;102,922;0,04
425000;5;0;0,1277;0,22628;0,11679;0,073;0,0219;0,0219;0,17883;100,73;0,293
439000;1;1;0,1328;0,25541;0,15296;0,0476;0,00577;0,0115;0,09668;99,5391;0,309
6250000;6;0;0,1327;0,27804;0,20853;0,0142;0,01738;0,0095;0,13428;99,3261;0,239
600000;25;18;0,0882;0,19328;0,14286;0,0084;0;0,0126;0,06303;100,283;-0,256
9500000;0;0;0,1188;0,27769;0,17335;0,0401;0,00321;0,0112;0,14125;103,045;0,313
5500000;2;0;0,0877;0,26066;0,17773;0,0142;0,00711;0,0047;0,0782;99,546;0,077
400500;24;0;0,0918;0,22705;0,12077;0,0242;0,00483;0,0048;0,08696;102,492;-0,003
400000;1;4;0,094;0,16239;0,11111;0,0256;0,00855;0,0086;0,11111;98,6675;-0,302
