Település;Lakosság
Vérteskethely;605
Ács;7207
Almásfüzitő;2097
Bábolna;3494
Bana;1626
Csém;420
Kisigmánd;533
Komárom;19171
Mocsa;2144
Nagyigmánd;2892
Bokod;2213
Dad;1038
Kecskéd;2104
Kömlőd;1101
Oroszlány;18675
Szákszend;1485
Baj;2908
Dunaalmás;1671
Dunaszentmiklós;498
Kocs;2592
Naszály;2435
Neszmély;1376
Szomód;2306
Tardos;1727
Tata;23082
Vértestolna;573
Gyermely;1537
Héreg;1069
Környe;4731
Szárliget;2540
Szomor;1141
Tarján;2654
Tatabánya;68140
Várgesztes;638
Vértessomló;1393
Vértesszőlős;3448
Ajka;28123
Csehbánya;309
Farkasgyepű;361
Halimba;1228
Kislőd;1253
Magyarpolány;1340
Nyirád;1947
Öcs;209
Szőc;446
Úrkút;2068
Városlőd;1352
Balatonakarattya;965
Balatonalmádi;9911
Balatonfőkajár;1362
Balatonfűzfő;4467
Balatonkenese;2724
Csajág;853
Felsőörs;1880
Királyszentistván;513
Küngös;546
Litér;2275
Papkeszi;1611
Alsóörs;1958
Aszófő;467
Balatonakali;706
Balatoncsicsó;257
Balatonfüred;13562
Balatonszepezd;431
Balatonszőlős;660
Balatonudvari;389
Csopak;2195
Dörgicse;307
Lovas;501
Monoszló;122
Óbudavár;66
Örvényes;153
Paloznak;554
Pécsely;592
Szentantalfa;517
Szentjakabfa;117
Tagyon;104
Tihany;1351
Vászoly;272
Zánka;1010
Adorjánháza;409
Apácatorna;172
Borszörcsök;385
Csögle;624
Dabrony;460
Devecser;4425
Doba;453
Egeralja;215
Iszkáz;340
Kamond;422
Karakószörcsök;286
Kerta;565
Kisberzseny;108
Kiscsősz;115
Kispirit;71
Kisszőlős;152
Kolontár;747
Nagyalásony;510
Nagypirit;259
Noszlop;1004
Oroszi;147
Pusztamiske;462
Somlójenő;294
Somlószőlős;646
Somlóvásárhely;1175
Somlóvecse;85
Tüskevár;575
Vid;142
Adásztevel;840
Bakonyjákó;723
Bakonykoppány;219
Bakonypölöske;418
Bakonyság;74
Bakonyszentiván;223
Bakonyszücs;287
Bakonytamási;617
Béb;272
Békás;215
Csót;989
Dáka;640
Döbrönte;293
Egyházaskesző;527
Ganna;274
Gecse;402
Gic;362
Homokbödöge;677
Kemeneshőgyész;498
Kemenesszentpéter;611
Kup;456
Külsővat;741
Lovászpatona;1183
Magyargencs;495
Malomsok;523
Marcalgergelyi;367
Marcaltő;754
Mezőlak;982
Mihályháza;731
Nagyacsád;654
Nagydém;351
Nagygyimót;560
Nagytevel;554
Nemesgörzsöny;650
Nemesszalók;846
Németbánya;123
Nóráp;215
Nyárád;930
Pápa;29797
Pápadereske;286
Pápakovácsi;569
Pápasalamon;366
Pápateszér;1231
Takácsi;865
Ugod;1313
Vanyola;580
Várkesző;178
Vaszar;1534
Vinár;230
Bazsi;459
Bodorfa;100
Csabrendek;3083
Dabronc;470
Gógánfa;797
Gyepükaján;361
Hetyefő;88
Hosztót;67
Káptalanfa;817
Megyer;35
Nemeshany;368
Rigács;200
Sümeg;6073
Sümegprága;608
Szentimrefalva;205
Ukk;337
Veszprémgalsa;276
Zalaerdőd;260
Zalagyömörő;406
Zalameggyes;59
Zalaszegvár;162
Ábrahámhegy;570
Badacsonytomaj;2162
Badacsonytördemic;925
Balatonederics;1030
Balatonhenye;135
Balatonrendes;165
Gyulakeszi;711
Hegyesd;175
Hegymagas;278
Kapolcs;387
Káptalantóti;497
Kékkút;67
Kisapáti;358
Kővágóörs;755
Köveskál;362
Lesencefalu;323
Lesenceistvánd;991
Lesencetomaj;1119
Mindszentkálla;249
Monostorapáti;1165
Nemesgulács;999
Nemesvita;347
Raposka;269
Révfülöp;1188
Salföld;70
Sáska;290
Szentbékkálla;212
Szigliget;931
Taliándörögd;678
Tapolca;15500
Uzsa;323
Vigántpetend;203
Zalahaláp;1283
Berhida;5899
Jásd;699
Ősi;2075
Öskü;2275
Pétfürdő;4716
Tés;863
Várpalota;20167
Vilonya;681
Bánd;689
Barnag;148
Eplény;512
Hajmáskér;3105
Hárskút;679
Herend;3494
Hidegkút;481
Márkó;1594
Mencshely;274
Nagyvázsony;1838
Nemesvámos;3032
Pula;193
Sóly;541
Szentgál;2813
Szentkirályszabadja;2102
Tótvázsony;1418
Veszprém;55247
Veszprémfajsz;254
Vöröstó;92
Bakonybél;1161
Bakonynána;1025
Bakonyoszlop;472
Bakonyszentkirály;838
Borzavár;761
Csesznek;526
Csetény;1844
Dudar;1746
Lókút;481
Nagyesztergár;1173
Olaszfalu;1058
Pénzesgyőr;325
Porva;502
Szápár;500
Zirc;6725
Acsalag;484
Bágyogszovát;1359
Barbacs;768
Bodonhely;320
Bogyoszló;622
Bősárkány;2117
Cakóháza;54
Csorna;9932
Dör;608
Egyed;536
Farád;1939
Jobaháza;552
Kóny;2748
Maglóca;111
Magyarkeresztúr;459
Markotabödöge;483
Páli;467
Pásztori;403
Potyond;104
Rábacsanak;511
Rábapordány;985
Rábasebes;95
Rábaszentandrás;456
Rábatamási;1020
Rábcakapi;170
Sobor;282
Sopronnémeti;302
Szany;2189
Szil;1392
Szilsárkány;739
Tárnokréti;202
Vág;526
Zsebeháza;155
Abda;3312
Bezi;535
Bőny;2242
Börcs;1352
Dunaszeg;2254
Dunaszentpál;745
Enese;1786
Fehértó;490
Gönyű;3308
Győr;124287
Győrladamér;1837
Győrság;1545
Győrsövényház;814
Győrújbarát;7404
Győrújfalu;2240
Győrzámoly;3358
Ikrény;1940
Kajárpéc;1280
Kisbajcs;908
Koroncó;2472
Kunsziget;1303
Mezőörs;945
Mosonszentmiklós;2541
Nagybajcs;1028
Nagyszentjános;1848
Nyúl;4505
Öttevény;3095
Pér;2565
Rábapatona;2599
Rétalap;607
Sokorópátka;1127
Tényő;1719
Töltéstava;2526
Vámosszabadi;3490
Vének;183
Agyagosszergény;936
Babót;1107
Beled;2554
Cirák;544
Dénesfa;408
Edve;117
Gyóró;380
Himod;669
Hövej;337
Kapuvár;10014
Kisfalud;723
Mihályi;1089
Osli;896
Rábakecöl;703
Répceszemere;274
Szárföld;1050
Vadosfa;94
Vásárosfalu;165
Veszkény;961
Vitnyéd;1417
Ásványráró;2062
Bezenye;1435
Darnózseli;1606
Dunakiliti;2015
Dunaremete;248
Dunasziget;1721
Feketeerdő;632
Halászi;3213
Hédervár;1285
Hegyeshalom;3704
Jánossomorja;6065
Károlyháza;568
Kimle;2312
Kisbodak;369
Lébény;3311
Levél;2070
Lipót;782
Máriakálnok;2049
Mecsér;640
Mosonmagyaróvár;32256
Mosonszolnok;1825
Mosonudvar;443
Püski;642
Rajka;3868
Újrónafő;862
Várbalog;396
Bakonygyirót;158
Bakonypéterd;303
Bakonyszentlászló;1766
Écs;2066
Fenyőfő;117
Győrasszonyfa;531
Lázi;545
Nyalka;478
Pannonhalma;3506
Pázmándfalu;1092
Ravazd;1276
Románd;322
Sikátor;335
Táp;742
Tápszentmiklós;945
Tarjánpuszta;420
Veszprémvarsány;1053
Ágfalva;2402
Csáfordjánosfa;230
Csapod;582
Csér;36
Ebergőc;164
