Település;Lakosság
Siklósnagyfalu;460
Szaporca;232
Szava;330
Tésenfa;201
Túrony;279
Újpetre;1046
Villány;2260
Villánykövesd;265
Vokány;874
Bicsérd;1058
Boda;432
Bükkösd;1122
Cserdi;383
Csonkamindszent;180
Dinnyeberki;89
Gerde;552
Gyöngyfa;158
Helesfa;472
Hetvehely;470
Kacsóta;286
Királyegyháza;946
Okorvölgy;89
Pécsbagota;102
Sumony;469
Szabadszentkirály;835
Szentdénes;324
Szentkatalin;113
Szentlőrinc;6473
Velény;138
Zók;288
Almamellék;452
Almáskeresztúr;83
Bánfa;204
Basal;206
Boldogasszonyfa;434
Botykapeterd;348
Bürüs;95
Csebény;115
Csertő;415
Dencsháza;592
Endrőc;356
Gyöngyösmellék;317
Hobol;969
Horváthertelend;60
Ibafa;216
Katádfa;157
Kétújfalu;711
Kisdobsza;260
Kistamási;143
Magyarlukafa;94
Merenye;273
Molvány;171
Mozsgó;939
Nagydobsza;612
Nagypeterd;679
Nagyváty;326
Nemeske;223
Nyugotszenterzsébet;245
Patapoklosi;363
Pettend;198
Rózsafa;354
Somogyapáti;494
Somogyhárságy;439
Somogyhatvan;366
Somogyviszló;252
Szentegát;376
Szentlászló;823
Szigetvár;10341
Szörény;77
Szulimán;249
Teklafalu;333
Tótszentgyörgy;155
Várad;135
Vásárosbéc;221
Zádor;339
Babócsa;1478
Barcs;10843
Bélavár;333
Bolhó;739
Csokonyavisonta;1573
Darány;928
Drávagárdony;155
Drávatamási;393
Heresznye;272
Homokszentgyörgy;1071
Istvándi;596
Kálmáncsa;592
Kastélyosdombó;212
Komlósd;174
Lad;605
Lakócsa;584
Patosfa;242
Péterhida;167
Potony;198
Rinyaújlak;321
Rinyaújnép;51
Somogyaracs;189
Szentborbás;127
Szulok;620
Tótújfalu;249
Vízvár;516
Berzence;2443
Csurgó;4885
Csurgónagymarton;175
Gyékényes;985
Iharos;512
Iharosberény;1314
Inke;1241
Őrtilos;480
Pogányszentpéter;507
Porrog;214
Porrogszentkirály;287
Porrogszentpál;84
Somogybükkösd;84
Somogycsicsó;151
Somogyudvarhely;1013
Szenta;403
Zákány;1106
Zákányfalu;525
Balatonboglár;5837
Balatonfenyves;2218
Balatonlelle;4879
Buzsák;1545
Fonyód;5179
Gamás;744
Gyugy;329
Hács;369
Karád;1560
Kisberény;212
Látrány;1411
Lengyeltóti;3111
Ordacsehi;866
Öreglak;1533
Pamuk;293
Somogybabod;465
Somogytúr;480
Somogyvámos;779
Somogyvár;1713
Szőlősgyörök;1303
Visz;200
Alsóbogát;266
Bárdudvarnok;1177
Baté;782
Bodrog;399
Bőszénfa;508
Büssü;436
Cserénfa;215
Csoma;449
Csombárd;266
Csököly;1042
Ecseny;227
Edde;203
Felsőmocsolád;391
Fonó;326
Gadács;101
Gálosfa;240
Gige;405
Gölle;863
Hajmás;253
Hedrehely;389
Hencse;332
Hetes;1160
Igal;1516
Jákó;633
Juta;1181
Kadarkút;2445
Kaposfő;1583
Kaposgyarmat;91
Kaposhomok;480
Kaposkeresztúr;349
Kaposmérő;2447
Kaposszerdahely;1032
Kaposújlak;708
Kaposvár;62611
Kazsok;326
Kercseliget;389
Kisasszond;184
Kisgyalán;239
Kiskorpád;908
Kőkút;527
Magyaratád;805
Magyaregres;602
Mernye;1296
Mezőcsokonya;1243
Mike;635
Mosdós;900
Nagybajom;3172
Nagyberki;1446
Orci;552
Osztopán;795
Pálmajor;345
Patalom;325
Patca;61
Polány;271
Ráksi;455
Rinyakovácsi;173
Sántos;500
Simonfa;376
Somodor;409
Somogyaszaló;754
Somogyfajsz;542
Somogygeszti;439
Somogyjád;1562
Somogysárd;1295
Somogyszil;709
Szabadi;308
Szenna;779
Szentbalázs;311
Szentgáloskér;530
Szilvásszentmárton;198
Taszár;1982
Újvárfalva;257
Várda;456
Visnye;242
Zimány;550
Zselickisfalud;248
Zselickislak;422
Zselicszentpál;423
Balatonberény;1198
Balatonkeresztúr;1713
Balatonmáriafürdő;793
Balatonszentgyörgy;1700
Balatonújlak;497
Böhönye;2269
Csákány;321
Csömend;301
Főnyed;84
Gadány;347
Hollád;261
Hosszúvíz;57
Kelevíz;354
Kéthely;2323
Libickozma;39
Marcali;11380
Mesztegnyő;1305
Nagyszakácsi;460
Nemesdéd;826
Nemeskisfalud;126
Nemesvid;745
Nikla;770
Pusztakovácsi;866
Sávoly;503
Somogysámson;729
Somogysimonyi;109
Somogyszentpál;812
Somogyzsitfa;579
Szegerdő;222
Szenyér;336
Szőkedencs;264
Tapsony;679
Táska;415
Tikos;142
Varászló;160
Vése;732
Vörs;518
Bakháza;178
Beleg;622
Bolhás;415
Görgeteg;1131
Háromfa;709
Kaszó;99
Kisbajom;420
Kutas;1431
Lábod;1881
Nagyatád;10392
Nagykorpád;552
Ötvöskónyi;918
Rinyabesenyő;206
Rinyaszentkirály;401
Segesd;2448
Somogyszob;1517
Szabás;594
Tarany;1156
Ádánd;2158
Balatonendréd;1347
Balatonföldvár;2344
Balatonőszöd;549
Balatonszabadi;2969
Balatonszárszó;2254
Balatonszemes;1826
Balatonvilágos;1477
Bálványos;608
Kereki;543
Kőröshegy;1420
Kötcse;544
Nagyberény;1345
Nagycsepely;378
Nyim;337
Pusztaszemes;389
Ságvár;1914
Siófok;25043
Siójut;661
Som;694
Szántód;698
Szólád;589
Teleki;226
Zamárdi;2632
Andocs;1055
Bábonymegyer;817
Bedegkér;403
Bonnya;248
Fiad;133
Kánya;432
Kapoly;635
Kára;61
Kisbárapáti;400
Lulla;221
Miklósi;216
Nágocs;619
Sérsekszőlős;142
Somogyacsa;178
Somogydöröcske;138
Somogyegres;196
Somogymeggyes;480
Szorosad;101
Tab;4321
Tengőd;449
Torvaj;254
Törökkoppány;413
Zala;242
Zics;337
Aparhant;1010
Bátaapáti;410
Bonyhád;12906
Bonyhádvarasd;448
Cikó;904
Felsőnána;616
Grábóc;171
Györe;660
Izmény;494
Kakasd;1681
Kéty;713
Kisdorog;714
Kismányok;338
Kisvejke;420
Lengyel;520
Mórágy;737
Mőcsény;343
Mucsfa;344
Murga;59
Nagymányok;2273
Nagyvejke;150
Tevel;1356
Váralja;806
Závod;291
Zomba;2041
Attala;780
Csibrák;300
Csikóstőttős;851
Dalmand;1254
Dombóvár;18396
Döbrököz;1975
Gyulaj;962
Jágónak;239
Kapospula;861
Kaposszekcső;1524
Kocsola;1251
Kurd;1134
Lápafő;168
Nak;536
Szakcs;851
Várong;143
Bikács;421
Bölcske;2746
Dunaföldvár;8489
Dunaszentgyörgy;2552
Gerjen;1241
Györköny;1007
Kajdacs;1151
Madocsa;1908
Nagydorog;2642
Németkér;1724
Paks;18439
Pálfa;1502
Pusztahencse;1043
Sárszentlőrinc;1043
Tengelic;2169
Alsónána;713
Alsónyék;720
Báta;1600
Bátaszék;6475
Decs;4149
Harc;862
Kistormás;333
Kölesd;1487
Medina;792
Őcsény;2417
Pörböly;552
Sárpilis;642
Sióagárd;1285
Szálka;652
Szedres;2153
Szekszárd;32126
Várdomb;1174
Belecska;356
Diósberény;324
Dúzs;232
Értény;729
Felsőnyék;1084
Fürged;713
Gyönk;1732
Hőgyész;2763
Iregszemcse;2622
Kalaznó;151
Keszőhidegkút;208
Kisszékely;312
Koppányszántó;327
Magyarkeszi;1170
Miszla;276
Mucsi;469
Nagykónyi;1048
Nagyszékely;422
Nagyszokoly;871
Ozora;1662
Pári;662
Pincehely;2158
Regöly;1115
Simontornya;3889
Szakadát;242
Szakály;1284
Szárazd;276
Tamási;8037
Tolnanémedi;998
Udvari;320
Újireg;293
Varsád;372
Bogyiszló;2156
Fácánkert;692
Fadd;4218
Tolna;11500
Bodroghalom;1339
Cigánd;3192
Dámóc;385
Karcsa;1847
Karos;514
Kisrozvágy;260
Lácacséke;330
Nagyrozvágy;677
Pácin;1510
Révleányvár;470
Ricse;1842
Semjén;551
Tiszacsermely;547
Tiszakarád;2462
Zemplénagárd;742
Abod;180
Balajt;502
Becskeháza;36
Bódvalenke;290
Bódvarákó;116
Bódvaszilas;1026
Boldva;2423
Borsodszirák;1217
Damak;261
Debréte;18
Edelény;9892
Égerszög;56
Galvács;92
Hangács;576
Hegymeg;117
Hidvégardó;567
Irota;84
Komjáti;198
Ládbesenyő;271
Lak;688
Martonyi;409
Meszes;169
Nyomár;314
Perkupa;818
Rakaca;949
Rakacaszend;346
Szakácsi;187
Szalonna;996
Szendrő;4136
Szendrőlád;2199
Szin;848
Szinpetri;217
Szögliget;593
Szőlősardó;109
Szuhogy;1101
Teresztenye;24
Tomor;239
Tornabarakony;23
Tornakápolna;25
Tornanádaska;794
Tornaszentandrás;184
Tornaszentjakab;208
Varbóc;67
Viszló;69
Ziliz;397
Alsógagy;93
Baktakék;802
Beret;296
Büttös;174
Csenyéte;534
Csobád;695
Detek;262
Encs;6352
Fáj;482
Fancsal;345
Felsőgagy;227
Forró;2700
Fulókércs;434
Gagyapáti;56
Garadna;353
Hernádpetri;269
Hernádszentandrás;419
Hernádvécse;1102
Ináncs;1173
Kány;57
Keresztéte;36
Krasznokvajda;504
Litka;48
Méra;1676
Novajidrány;1340
Perecse;23
Pusztaradvány;225
Szalaszend;1054
Szemere;430
Abaújalpár;69
Abaújkér;604
Abaújszántó;2935
Abaújvár;234
Arka;83
Baskó;197
Boldogkőújfalu;627
Boldogkőváralja;989
Felsődobsza;930
Fony;314
Gibárt;352
Gönc;1971
Göncruszka;652
Hejce;249
Hernádbűd;139
Hernádcéce;248
Hernádszurdok;180
Hidasnémeti;1105
Kéked;189
Korlát;314
Mogyoróska;81
Pányok;65
Pere;320
Regéc;87
Sima;49
Telkibánya;600
Tornyosnémeti;535
Vilmány;1470
Vizsoly;893
Zsujta;178
Alacska;749
Alsótelekes;149
Bánhorváti;1386
Berente;1145
Dédestapolcsány;1440
Felsőtelekes;722
Izsófalva;1741
Kazincbarcika;27227
Kurityán;1550
Mályinka;469
Múcsony;2978
Nagybarca;892
Ormosbánya;1599
Rudabánya;2557
Rudolftelep;724
Sajógalgóc;344
Sajóivánka;654
Sajókaza;3112
Sajószentpéter;12252
Szuhakálló;988
Tardona;1026
Vadna;637
Ároktő;1148
Gelej;582
Hejőpapi;1141
Igrici;1196
Mezőcsát;5932
Tiszadorogma;390
Tiszakeszi;2627
Tiszatarján;1400
Bogács;2080
Borsodgeszt;295
Borsodivánka;671
Bükkábrány;1641
Bükkzsérc;971
Cserépfalu;947
Cserépváralja;403
Csincse;560
Egerlövő;548
Kács;493
Mezőkeresztes;3685
Mezőkövesd;16410
Mezőnagymihály;1012
Mezőnyárád;1619
Négyes;283
Sály;1744
Szentistván;2400
Szomolya;1569
Tard;1149
Tibolddaróc;1350
Tiszabábolna;343
Tiszavalk;297
Vatta;865
Alsózsolca;5770
Arnót;2454
Berzék;1023
Bőcs;2778
Bükkaranyos;1538
Bükkszentkereszt;1167
Emőd;4993
Felsőzsolca;6738
Gesztely;2722
Harsány;2036
Hernádkak;1665
Hernádnémeti;3607
Kisgyőr;1667
Kistokaj;2282
Kondó;597
Köröm;1558
Mályi;4254
Miskolc;157544
Nyékládháza;5165
Onga;4955
Ónod;2414
Parasznya;1177
Radostyán;577
Répáshuta;431
Sajóbábony;2674
Sajóecseg;1039
Sajóhídvég;1171
Sajókápolna;397
Sajókeresztúr;1520
Sajólád;3028
Sajólászlófalva;441
Sajópálfala;720
Sajópetri;1565
Sajósenye;399
Sajóvámos;2132
Sóstófalva;253
Szirmabesenyő;4312
Újcsanálos;874
Varbó;1082
Arló;3843
Borsodbóta;853
Borsodnádasd;3135
Borsodszentgyörgy;1193
Bükkmogyorósd;131
Csernely;755
Csokvaomány;809
Domaháza;854
Farkaslyuk;1948
Hangony;1533
Járdánháza;1793
Kissikátor;305
Lénárddaróc;259
Nekézseny;651
Ózd;34686
Sáta;1150
Uppony;282
Aggtelek;537
Alsószuha;442
Bánréve;1234
Dövény;269
Dubicsány;275
Felsőkelecsény;363
Felsőnyárád;984
Gömörszőlős;81
Hét;469
Imola;102
Jákfalva;512
Jósvafő;257
Kánó;153
Kelemér;492
Királd;766
Putnok;6909
Ragály;625
Sajómercse;236
Sajónémeti;501
Sajópüspöki;541
Sajóvelezd;782
Serényfalva;1016
Szuhafő;138
Trizs;205
Zádorfalva;490
Zubogy;535
Bodrogolaszi;898
Erdőhorváti;583
Györgytarló;573
Háromhuta;134
Hercegkút;667
Kenézlő;1215
Komlóska;276
Makkoshotyka;847
Olaszliszka;1653
Sárazsadány;241
Sárospatak;12164
Tolcsva;1726
Vajdácska;1275
Vámosújfalu;721
Viss;628
Zalkod;215
Alsóberecki;738
Alsóregmec;196
Bózsva;196
Felsőberecki;281
Felsőregmec;364
Filkeháza;104
Füzér;395
Füzérkajata;118
Füzérkomlós;315
Füzérradvány;324
Hollóháza;829
Kishuta;294
Kovácsvágás;645
Mikóháza;539
Nagyhuta;60
Nyíri;403
Pálháza;1073
Pusztafalu;211
Sátoraljaújhely;14803
Vágáshuta;115
Vilyvitány;257
Alsódobsza;308
Bekecs;2429
Golop;569
Legyesbénye;1509
Mád;2112
Megyaszó;2721
Mezőzombor;2419
Monok;1508
Prügy;2549
Rátka;928
Szerencs;9109
Taktaharkány;3621
Taktakenéz;1203
Taktaszada;1944
Tállya;1792
Tiszalúc;5079
Abaújlak;89
Abaújszolnok;201
Alsóvadász;1569
Aszaló;1843
Felsővadász;567
Gadna;352
Gagybátor;224
Gagyvendégi;210
Halmaj;1668
Hernádkércs;311
Homrogd;913
Kázsmárk;1045
Kiskinizs;339
Kupa;172
Léh;449
Monaj;261
Nagykinizs;335
Nyésta;75
Pamlény;52
Rásonysápberencs;544
Selyeb;501
Szászfa;113
Szentistvánbaksa;277
Szikszó;5590
Girincs;893
Hejőbába;1917
Hejőkeresztúr;1042
Hejőkürt;277
Hejőszalonta;828
Kesznyéten;1814
Kiscsécs;196
Muhi;493
Nagycsécs;829
Nemesbikk;926
Oszlár;360
Sajóörös;1491
Sajószöged;2337
Szakáld;472
Tiszapalkonya;1457
Tiszaújváros;16213
Bodrogkeresztúr;1030
Bodrogkisfalud;900
Csobaj;682
Erdőbénye;1109
Szegi;324
Szegilong;248
Taktabáj;577
Tarcal;2810
Tiszaladány;608
Tiszatardos;251
Tokaj;3824
Balaton;1044
Bekölce;667
Bélapátfalva;2831
Bükkszentmárton;327
Mikófalva;697
Mónosbél;391
Nagyvisnyó;956
Szilvásvárad;1547
Andornaktálya;2755
Bátor;360
Demjén;613
Eger;51980
Egerbakta;1471
Egerbocs;551
Egercsehi;1329
Egerszalók;1968
Egerszólát;1117
Feldebrő;994
Felsőtárkány;3555
Hevesaranyos;589
Kerecsend;2378
Maklár;2461
Nagytálya;896
Noszvaj;1907
Novaj;1365
Ostoros;2790
Szarvaskő;392
Szúcs;398
Tarnaszentmária;240
Verpelét;3890
Aldebrő;700
Besenyőtelek;2649
Dormánd;1000
Egerfarmos;689
Füzesabony;7693
Kál;3495
Kápolna;1552
Kompolt;2012
Mezőszemere;1139
Mezőtárkány;1618
Nagyút;691
Poroszló;2816
Sarud;1147
Szihalom;2023
Tófalu;599
Újlőrincfalva;211
Abasár;2465
Adács;2653
Atkár;1817
Detk;1142
Domoszló;1948
Gyöngyös;28587
Gyöngyöshalász;2655
Gyöngyösoroszi;1525
Gyöngyöspata;2500
Gyöngyössolymos;2928
Gyöngyöstarján;2268
Halmajugra;1389
Karácsond;2988
Kisnána;994
Ludas;752
Markaz;1717
Mátraszentimre;470
Nagyfüged;1771
Nagyréde;3294
Pálosvörösmart;642
Szűcsi;1524
Vámosgyörk;2029
Vécs;658
Visonta;1280
Visznek;1096
Apc;2460
Boldog;2993
Csány;2161
Ecséd;3189
Hatvan;20538
Heréd;1891
Hort;3630
Kerekharaszt;984
Lőrinci;5614
Nagykökényes;575
Petőfibánya;2618
Rózsaszentmárton;1974
Zagyvaszántó;1894
Átány;1561
Boconád;1291
Erdőtelek;3359
Erk;915
Heves;10481
Hevesvezekény;690
Kisköre;2800
Kömlő;2035
Pély;1459
Tarnabod;752
Tarnaméra;1603
Tarnaörs;1803
Tarnaszentmiklós;821
Tarnazsadány;1316
Tenk;1214
Tiszanána;2476
Zaránk;456
Bodony;730
Bükkszék;664
Bükkszenterzsébet;1018
Erdőkövesd;642
Fedémes;299
Istenmezeje;1408
Ivád;385
Kisfüzes;131
Mátraballa;757
Mátraderecske;1838
Parád;1973
Parádsasvár;418
Pétervására;2174
Recsk;2735
Sirok;1743
Szajla;605
Szentdomonkos;519
Tarnalelesz;1672
Terpes;192
Váraszó;480
Balassagyarmat;14819
Becske;558
Bercel;1708
Cserháthaláp;387
Cserhátsurány;770
Csesztve;339
Csitár;402
Debercsény;76
Dejtár;1443
Drégelypalánk;1439
Érsekvadkert;3645
Galgaguta;608
Herencsény;551
Hont;512
Hugyag;862
Iliny;161
Ipolyszög;628
Ipolyvece;819
Magyarnándor;1111
Mohora;981
Nógrádkövesd;650
Nógrádmarcal;479
Őrhalom;1002
Patak;906
Patvarc;740
Szanda;602
Szécsénke;200
Szügy;1476
Terény;367
Bátonyterenye;12207
Dorogháza;1016
Mátramindszent;766
Mátranovák;1642
Mátraterenye;1793
Mátraverebély;1879
Nemti;723
Szuha;522
Alsótold;225
Bér;374
Bokor;112
Buják;2066
Csécse;903
Cserhátszentiván;109
Ecseg;1175
Egyházasdengeleg;427
Erdőkürt;541
Erdőtarcsa;519
Felsőtold;131
Garáb;43
Héhalom;1041
Jobbágyi;1993
Kálló;1574
Kisbágyon;420
Kozárd;168
Kutasó;101
Mátraszőlős;1508
Palotás;1619
Pásztó;8989
Szarvasgede;398
Szirák;1119
Szurdokpüspöki;1873
Tar;1878
Vanyarc;1205
Alsópetény;589
Bánk;715
Berkenye;682
Borsosberény;934
Diósjenő;2972
Felsőpetény;593
Horpács;174
Keszeg;706
Kétbodony;460
Kisecset;178
Legénd;490
Nagyoroszi;2028
Nézsa;1180
Nógrád;1622
Nógrádsáp;933
Nőtincs;1188
Ősagárd;332
Pusztaberki;165
Rétság;2751
Romhány;2175
Szátok;564
Szendehely;1629
Szente;328
Tereske;691
Tolmács;763
Bárna;995
Cered;1060
Egyházasgerge;702
Etes;1352
Ipolytarnóc;444
Karancsalja;1513
Karancsberény;797
Karancskeszi;1809
Karancslapujtő;2558
Karancsság;1297
Kazár;1734
Kisbárkány;151
Kishartyán;561
Litke;820
Lucfalva;637
Márkháza;252
Mátraszele;918
Mihálygerge;550
Nagybárkány;642
Nagykeresztúr;255
Rákóczibánya;654
Ságújfalu;994
Salgótarján;34877
Sámsonháza;285
Somoskőújfalu;2216
Sóshartyán;914
Szilaspogony;325
Vizslás;1307
Zabar;464
Endrefalva;1224
Hollókő;339
Ludányhalászi;1466
Magyargéc;846
Nagylóc;1496
Nógrádmegyer;1648
Nógrádsipek;710
Nógrádszakál;680
Piliny;606
Rimóc;1657
Szalmatercs;468
Szécsény;5677
Szécsényfelfalu;401
Varsány;1588
Balmazújváros;17583
Egyek;5278
Hortobágy;1416
Tiszacsege;4653
Újszentmargita;1464
Ártánd;643
Bakonszeg;1190
Bedő;371
Berekböszörmény;1999
Berettyóújfalu;14846
Biharkeresztes;4431
Bojt;591
Csökmő;1962
Darvas;566
Furta;1148
Gáborján;889
Hencida;1203
Komádi;5495
Körösszakál;815
Körösszegapáti;1060
Magyarhomorog;879
Mezőpeterd;645
Mezősas;674
Nagykereki;1385
Szentpéterszeg;1109
Told;398
Újiráz;521
Váncsod;1162
Vekerd;118
Zsáka;1578
Debrecen;201081
Hajdúsámson;14443
Derecske;8682
Esztár;1449
Hajdúbagos;2074
Hosszúpályi;5907
Kismarja;1312
Kokad;676
Konyár;2237
Létavértes;7560
Mikepércs;4977
Monostorpályi;2166
Pocsaj;2768
Sáránd;2365
Tépe;1057
Hajdúböszörmény;30704
Hajdúdorog;8946
Bocskaikert;3693
Hajdúhadház;13462
Téglás;6427
Folyás;305
Görbeháza;2369
Hajdúnánás;16961
Polgár;8129
Tiszagyulaháza;713
Újtikos;874
Ebes;4762
Hajdúszoboszló;24329
Hajdúszovát;3163
Nádudvar;8757
Nagyhegyes;2872
Álmosd;1843
Bagamér;2564
Fülöp;1748
Nyírábrány;3874
Nyíracsád;3803
Nyíradony;7865
Nyírmártonfalva;1998
Újléta;1126
Vámospércs;5569
Báránd;2567
Bihardancsháza;179
Biharnagybajom;2750
Bihartorda;966
Földes;3986
Kaba;5867
Nagyrábé;2098
Püspökladány;14387
Sáp;955
Sárrétudvari;2939
Szerep;1556
Tetétlen;1353
Alattyán;2023
Jánoshida;2561
Jászalsószentgyörgy;3414
Jászapáti;8646
Jászdózsa;2134
Jászivány;404
Jászkisér;5292
Jászladány;5640
Jászszentandrás;2476
Jászágó;709
Jászárokszállás;7684
Jászberény;26044
Jászboldogháza;1695
Jászfelsőszentgyörgy;1842
Jászfényszaru;5804
Jászjákóhalma;2907
Jásztelek;1543
Pusztamonostor;1597
Berekfürdő;1336
Karcag;19849
Kenderes;4450
Kisújszállás;10948
Kunmadaras;5450
Abádszalók;4257
Kunhegyes;7727
Tiszabő;2271
Tiszabura;3206
Tiszagyenda;1043
Tiszaroff;1693
Tomajmonostora;746
Cibakháza;3952
Csépa;1684
Cserkeszőlő;2325
Kunszentmárton;8031
Nagyrév;667
Öcsöd;3220
Szelevény;1016
Tiszaföldvár;10802
Tiszainoka;414
Tiszakürt;1366
Tiszasas;1078
Kétpó;638
Mesterszállás;668
Mezőhék;342
Mezőtúr;16820
Túrkeve;8657
Besenyszög;3301
Csataszög;314
Hunyadfalva;207
Kőtelek;1562
Martfű;6356
Nagykörű;1646
Rákóczifalva;5440
Rákócziújfalu;1976
Szajol;3857
Szászberek;993
Szolnok;69643
Tiszajenő;1571
Tiszasüly;1517
Tiszavárkony;1577
Tószeg;4521
Újszász;6204
Vezseny;663
Zagyvarékas;3724
Nagyiván;1093
Tiszaderzs;1166
Tiszafüred;11411
Tiszaigar;802
Tiszaörs;1343
Tiszaszentimre;1992
Tiszaszőlős;1511
Fegyvernek;6683
Kengyel;3492
Kuncsorba;585
Örményes;1008
Tiszapüspöki;2091
Tiszatenyő;1635
Törökszentmiklós;20764
Baktalórántháza;3786
Besenyőd;841
Laskod;932
Levelek;2992
Magy;908
Nyíribrony;1164
Nyírjákó;862
Nyírkércs;763
Ófehértó;2606
Petneháza;1749
Ramocsaháza;1501
Rohod;1270
Csenger;5119
Csengersima;809
Csengerújfalu;968
Komlódtótfalu;148
Pátyod;699
Porcsalma;2835
Szamosangyalos;806
Szamosbecs;411
Szamostatárfalva;331
Tyukod;2057
Ura;644
Botpalád;915
Cégénydányád;663
Csaholc;666
Császló;388
Csegöld;721
Darnó;186
Fehérgyarmat;7990
Fülesd;463
Gacsály;1020
Garbolc;150
Gyügye;295
Hermánszeg;290
Jánkmajtis;1793
Kérsemjén;319
Kisar;1108
Kishódos;92
Kisnamény;310
Kispalád;919
Kisszekeres;558
Kölcse;1431
Kömörő;605
Magosliget;332
Mánd;322
Méhtelek;794
Milota;998
Nábrád;906
Nagyar;676
Nagyhódos;152
Nagyszekeres;555
Nemesborzova;121
Olcsvaapáti;318
Panyola;568
Penyige;788
Rozsály;772
Sonkád;883
Szamossályi;752
Szamosújlak;412
Szatmárcseke;1646
Tiszabecs;1550
Tiszacsécse;263
Tiszakóród;809
Tisztaberek;707
Tivadar;204
Tunyogmatolcs;2518
Túristvándi;786
Túrricse;702
Uszka;596
Vámosoroszi;567
Zajta;465
Zsarolyán;436
Balsa;735
Buj;2286
Gávavencsellő;3518
Ibrány;6914
Nagyhalász;5760
Paszab;1289
Tiszabercel;1841
Tiszatelek;1378
Berkesz;772
Beszterec;1009
Demecser;4282
Gégény;1920
Kék;2033
Kemecse;5024
Nyírbogdány;2938
Nyírtét;1012
Székely;1093
Tiszarád;614
Vasmegyer;1742
Ajak;3725
Anarcs;2027
Dombrád;4077
Döge;2281
Fényeslitke;2536
Gyulaháza;1956
Jéke;757
Kékcse;1582
Kisvárda;16844
Lövőpetri;518
Mezőladány;1058
Nyírkarász;2285
Nyírlövő;684
Nyírtass;1989
Pap;1926
Pátroha;3120
Rétközberencs;1176
Szabolcsbáka;1157
Szabolcsveresmart;1499
Tiszakanyár;1648
Tornyospálca;2730
Újdombrád;695
Újkenéz;1019
Fábiánháza;1866
Fülpösdaróc;352
Géberjén;485
Győrtelek;1731
Hodász;3318
Jármi;1272
Kántorjánosi;2121
Kocsord;3014
Mátészalka;16724
Mérk;2191
Nagydobos;2266
Nagyecsed;6413
Nyírcsaholy;2317
Nyírkáta;2095
Nyírmeggyes;2670
Nyírparasznya;974
Ópályi;3238
Ököritófülpös;1847
Őr;1524
Papos;859
Rápolt;162
Szamoskér;415
Szamosszeg;1885
Tiborszállás;1013
Vaja;3673
Vállaj;1275
Balkány;6177
Biri;1355
Bököny;3127
Érpatak;1784
Geszteréd;1791
Kállósemjén;3708
Nagykálló;9713
Szakoly;2778
Bátorliget;669
Encsencs;1939
Kisléta;1748
Máriapócs;2061
Nyírbátor;12089
Nyírbéltek;2896
Nyírbogát;3088
Nyírcsászári;1212
Nyírderzs;604
Nyírgelse;1132
Nyírgyulaj;2025
Nyírlugos;2735
Nyírmihálydi;2263
Nyírpilis;985
Nyírvasvári;2028
Ömböly;475
Penészlek;1046
Piricse;1894
Pócspetri;1725
Terem;692
Apagy;2398
Kálmánháza;1879
Kótaj;4606
Nagycserkesz;1738
Napkor;3828
Nyíregyháza;119765
Nyírpazony;3720
Nyírtelek;7096
Nyírtura;1953
Rakamaz;4674
Sényő;1429
Szabolcs;351
Timár;1348
Tiszanagyfalu;1906
Újfehértó;12744
Szorgalmatos;1009
Tiszadada;2207
Tiszadob;2735
Tiszaeszlár;2645
Tiszalök;5342
Tiszavasvári;13036
Aranyosapáti;2230
Barabás;1039
Beregdaróc;1038
Beregsurány;1017
Csaroda;622
Gelénes;631
Gemzse;927
Gulács;1078
Gyüre;1304
Hetefejércse;309
Ilk;1360
Jánd;798
Kisvarsány;1046
Lónya;1086
Márokpapi;652
Mátyus;334
Nagyvarsány;1419
Nyírmada;5071
Olcsva;749
Pusztadobos;1529
Tákos;350
Tarpa;2738
Tiszaadony;671
Tiszakerecseny;1057
Tiszaszalka;952
Tiszavid;623
Vámosatya;569
Vásárosnamény;8845
Benk;482
Eperjeske;1242
Győröcske;164
Komoró;1333
Mándok;4276
Tiszabezdéd;1953
Tiszamogyorós;693
Tiszaszentmárton;1212
Tuzsér;3556
Záhony;4452
Zsurk;717
Bácsalmás;6593
Bácsbokod;2602
Bácsborsód;1121
Bácsszőlős;338
Csikéria;778
Katymár;1804
Kunbaja;1518
Madaras;2801
Mátételke;523
Tataháza;1141
Bácsszentgyörgy;158
Baja;35703
Bátmonostor;1541
Csátalja;1489
Csávoly;1766
Dávod;2046
Dunafalva;906
Érsekcsanád;2971
Érsekhalma;606
Felsőszentiván;1854
Gara;2228
Hercegszántó;1935
Nagybaracska;2266
Nemesnádudvar;1804
Sükösd;3662
Szeremle;1396
Vaskút;3469
Borota;1255
Jánoshalma;8626
Kéleshalom;440
Mélykút;5066
Rém;1290
Bátya;2052
Drágszél;336
Dunapataj;3155
Dunaszentbenedek;809
Dunatetétlen;550
Dusnok;3011
Fajsz;1664
Foktő;1572
Géderlak;979
Hajós;2965
Harta;3440
Homokmégy;1302
Kalocsa;15917
Miske;1760
Ordas;455
Öregcsertő;770
Solt;6434
Szakmár;1241
Újsolt;191
Újtelek;392
Uszód;936
Ágasegyháza;1986
Ballószög;3816
Felsőlajos;952
Fülöpháza;900
Fülöpjakab;1156
Helvécia;4889
Jakabszállás;2715
Kecskemét;110116
Kerekegyháza;6799
Kunbaracs;654
Kunszállás;1744
Ladánybene;1712
Lajosmizse;12120
Nyárlőrinc;2340
